id;barrio;area;cuartil_uno;cuartil_dos;cuartil_tres
1;BAÑADO SANTA ANA;AP1;2;3;6
2;BAÑADO TACUMBU;AP1;1;4;10
3;DR. GASPAR RODRIGUEZDE FRANCIA;AP1;1;2;5
4;ROBERTO L. PETIT;AP1;2;5;10
5;GRAL JOSE EDUVIGIS DIAZ;AP1;1;2;3
6;ITA ENRAMADA;AP1;1;2;3
7;ITA PYTA PUNTA;AP1;1;1;2
8;LA CATEDRAL;AP1;1;1;2
9;LA ENCARNACION;AP1;1;3;4
10;OBRERO INTENDENTE B. GUGGIARI;AP1;3;7;22
11;PIRIZAL;AP1;1;1;1
12;REPUBLICANO;AP1;1;3;7
13;RICARDO BRUGADA;AP1;2;3;8
14;SAJONIA;AP1;2;4;17
15;SAN ANTONIO;AP1;1;2;5
16;SAN ROQUE;AP1;2;3;6
17;SAN VICENTE;AP1;2;4;11
18;SANTA ANA;AP1;1;3;6
19;TACUMBU;AP1;1;4;8
20;TTE. SILVIO PETTIROSSI;AP1;1;2;6
21;TOTAL;AP1;8;19;82
22;BANCO SAN MIGUEL;AP2;1;2;4
23;BELLA VISTA;AP2;1;2;5
24;CIUDAD NUEVA;AP2;1;4;7
25;GRAL. BERNARDINO CABALLERO;AP2;2;3;5
26;HIPODROMO;AP2;2;4;11
27;JARA;AP2;2;5;13
28;LAS MERCEDES;AP2;1;2;3
29;LOS LAURELES;AP2;1;2;3
30;MBURICAO;AP2;1;1;3
31;MCAL. JOSE FELIX ESTIGARRIBIA;AP2;1;2;5
32;MARISCAL FRANCISCO SOLANO LOPEZ;AP2;1;2;3
33;NAZARETH;AP2;1;3;4
34;PANAMBI RETA;AP2;1;1;2
35;PANAMBI VERA;AP2;1;1;2
36;PINOZA;AP2;1;3;6
37;RECOLETA;AP2;1;3;5
38;SAN FELIPE;AP2;1;4;11
39;SAN PABLO;AP2;2;6;19
40;TABLADA NUEVA;AP2;1;3;11
41;TEMBETARY;AP2;1;2;3
42;TERMINAL;AP2;1;3;5
43;VILLA AURELIA;AP2;2;4;8
44;VIRGEN DE FATIMA;AP2;1;3;6
45;VIRGEN DE LA ASUNCION;AP2;1;2;4
46;VIRGEN DEL HUERTO;AP2;1;1;2
47;VISTA ALEGRE;AP2;1;3;8
48;TOTAL;AP2;6;17;102
49;BOTANICO;AP3;1;3;6
50;CAÑADA DEL YBYRAY;AP3;1;1;1
51;YTAY;AP3;1;1;1
52;LAS CARMELITAS;AP3;1;2;3
53;LOMA PYTA;AP3;2;6;19
54;LUIS ALBERTO DE HERRERA;AP3;1;3;7
55;MADAME ELISA ALICIA LYNCH;AP3;1;2;5
56;MANORA;AP3;1;2;2
57;MBOCAYATY;AP3;1;2;4
58;MBURUCUYA;AP3;1;3;6
59;ÑU GUAZU;AP3;0;0;0
60;SALVADOR DEL MUNDO;AP3;1;3;7
61;SAN BLAS;AP3;1;2;5
62;SAN CRISTOBAL;AP3;1;2;3
63;SAN JORGE;AP3;1;2;4
64;SANTA MARIA;AP3;1;3;7
65;SANTA ROSA;AP3;1;3;7
66;SANTISIMA TRINIDAD;AP3;2;5;16
67;SANTO DOMINGO;AP3;1;2;2
68;VILLA MORRA;AP3;2;2;5
69;YCUA SATI;AP3;1;2;4
70;ZEBALLOS CUE;AP3;3;5;15
71;TOTAL;AP3;6;16;76
72;VILLA HAYES (CHACO'I) ;CHACOI;1;1;1
73;VILLA HAYES (REMANSITO) ;CHACOI;1;2;4
74;VILLA HAYES (LA PAZ) ;CHACOI;0;0;0
75;TOTAL;CHACOI;1;1;2
